ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.37,-9.18,2.95,-0.001091,0.085085,-0.002182,27.5,-1.0625,-28.5625,1,2024-11-14,11:04:16.533212
0.33,-9.22,2.93,-0.001091,0.070904,-0.007636,28.0625,-1.0625,-27.75,1,2024-11-14,11:04:16.595193
0.29,-9.25,2.89,-0.005454,0.005454,-0.004363,28.5,-1.5,-27.75,1,2024-11-14,11:04:16.657142
0.32,-9.16,2.95,0.003272,-0.029452,0.004363,28.0625,-1.0625,-27.75,1,2024-11-14,11:04:16.657142
0.37,-9.23,2.92,-0.01309,-0.02618,0.002182,28.0625,-1.75,-28.0625,1,2024-11-14,11:04:16.657142
0.37,-9.21,2.94,-0.001091,-0.054542,0.003272,28.0625,-1.0625,-28.0625,1,2024-11-14,11:04:16.657142
0.39,-9.22,2.93,-0.006545,-0.037088,0.002182,28.0625,-1.0625,-28.0625,1,2024-11-14,11:04:16.657142
0.41,-9.25,2.92,-0.008727,-0.062177,-0.001091,27.0,-1.75,-28.5625,1,2024-11-14,11:04:16.657142
0.48,-9.17,2.97,-0.011999,-0.070904,0.010908,27.375,-1.5,-29.75,1,2024-11-14,11:04:16.657142
0.45,-9.25,2.9,0.005454,-0.042542,0.004363,26.6875,-1.5,-29.75,1,2024-11-14,11:04:16.704114
0.51,-9.23,2.98,-0.002182,-0.043633,-0.004363,27.0,-1.5,-28.875,1,2024-11-14,11:04:16.720109
0.48,-9.26,2.88,0.006545,0.001091,0.0,25.875,-1.5,-30.5,1,2024-11-14,11:04:16.735097
0.48,-9.23,2.9,-0.001091,0.030543,0.009817,26.6875,-1.5,-29.75,1,2024-11-14,11:04:16.877341
0.44,-9.26,2.88,0.002182,0.077449,0.005454,26.25,-1.5,-28.875,1,2024-11-14,11:04:17.099214
0.42,-9.25,3.03,0.004363,0.074176,-0.005454,27.0,-1.0625,-29.25,1,2024-11-14,11:04:17.333084
0.39,-9.25,2.92,-0.006545,0.090539,-0.006545,27.375,-1.75,-28.875,1,2024-11-14,11:04:17.520338
0.4,-9.23,3.01,0.002182,0.056723,-0.007636,27.6875,-1.75,-28.5625,1,2024-11-14,11:04:17.722760
0.33,-9.26,2.91,0.0,-0.006545,0.002182,28.0625,-0.6875,-28.5625,1,2024-11-14,11:04:17.922844
0.3,-9.23,2.91,0.008727,-0.027271,0.001091,28.5,-1.0625,-27.375,1,2024-11-14,11:04:18.123746
0.37,-9.23,2.91,-0.004363,-0.032725,0.001091,27.6875,-0.25,-28.5625,1,2024-11-14,11:04:18.311638
0.39,-9.24,2.9,-0.002182,-0.037088,0.001091,27.6875,-1.0625,-29.25,1,2024-11-14,11:04:18.513237
0.41,-9.29,2.94,-0.019635,-0.051269,-0.002182,27.6875,-1.75,-28.5625,1,2024-11-14,11:04:18.748773
0.39,-9.3,2.85,0.004363,-0.066541,0.007636,27.375,-1.75,-29.25,1,2024-11-14,11:04:18.953023
0.46,-9.19,2.91,-0.006545,-0.062177,-0.007636,27.375,-1.0625,-28.875,1,2024-11-14,11:04:19.264367
0.48,-9.28,2.86,-0.004363,-0.027271,0.0,27.0,-0.6875,-29.25,1,2024-11-14,11:04:19.373304
0.48,-9.23,2.87,0.001091,-0.031634,-0.002182,26.0,-1.0625,-29.25,1,2024-11-14,11:04:19.575067
0.53,-9.23,2.92,-0.005454,-0.018544,0.001091,26.375,-1.0625,-30.875,1,2024-11-14,11:04:21.540964
0.55,-9.28,2.9,0.003272,0.018544,0.007636,26.0,-1.75,-29.75,1,2024-11-14,11:04:21.557953
0.43,-9.24,2.74,0.005454,0.089448,0.002182,25.875,-1.0625,-29.25,1,2024-11-14,11:04:21.571959
0.43,-9.28,2.81,0.010908,0.105811,0.001091,26.25,-1.0625,-29.25,1,2024-11-14,11:04:21.601927
0.28,-9.2,2.83,0.001091,0.05236,0.002182,26.375,-2.1875,-28.875,1,2024-11-14,11:04:21.646916
0.35,-9.28,2.87,-0.001091,0.081812,-0.005454,27.6875,-1.0625,-28.875,1,2024-11-14,11:04:21.661893
0.33,-9.24,2.86,-0.001091,0.022907,-0.004363,28.0625,-0.6875,-27.75,1,2024-11-14,11:04:21.723876
0.34,-9.21,2.87,0.0,-0.014181,-0.002182,28.0625,-1.5,-28.875,1,2024-11-14,11:04:21.755857
0.37,-9.26,2.91,0.001091,-0.037088,0.001091,28.0625,-1.5,-28.5625,1,2024-11-14,11:04:21.755857
0.37,-9.28,2.94,0.0,-0.056723,0.002182,27.6875,-2.0625,-28.0625,1,2024-11-14,11:04:21.755857
0.38,-9.26,2.87,0.002182,-0.053451,0.010908,27.6875,-1.75,-29.25,1,2024-11-14,11:04:21.849396
0.44,-9.24,2.92,-0.001091,-0.066541,-0.005454,26.25,-1.5,-28.5625,1,2024-11-14,11:04:21.915360
0.42,-9.26,2.84,0.0,-0.045815,0.002182,26.25,-1.5,-29.25,1,2024-11-14,11:04:22.112801
0.5,-9.23,2.9,0.0,-0.03927,-0.001091,25.875,-1.5,-29.75,1,2024-11-14,11:04:22.329971
0.48,-9.24,2.85,-0.004363,-0.02618,-0.002182,27.0,-1.5,-29.25,1,2024-11-14,11:04:22.516379
0.53,-9.25,2.88,0.0,-0.021817,0.002182,26.25,-1.0625,-30.5,1,2024-11-14,11:04:22.878562
0.61,-9.23,2.9,-0.011999,-0.007636,0.011999,25.5,-0.6875,-29.25,1,2024-11-14,11:04:23.112952
