ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
5.76,-0.04,7.82,-0.015272,-0.101447,0.029452,0.75,32.6875,7.375,3,2024-11-14,11:07:12.837295
5.89,-0.05,7.77,-0.009817,-0.076358,0.015272,0.75,31.6875,7.75,3,2024-11-14,11:07:13.071534
5.91,-0.05,7.69,-0.009817,-0.049087,0.015272,0.75,32.0,8.1875,3,2024-11-14,11:07:13.352990
5.94,-0.08,7.65,-0.001091,-0.017453,0.004363,0.75,32.375,7.0,3,2024-11-14,11:07:13.542929
6.0,-0.12,7.63,-0.018544,-0.002182,-0.002182,0.75,31.6875,7.75,3,2024-11-14,11:07:13.727850
6.04,-0.12,7.77,0.0,0.064359,-0.021817,1.875,31.6875,8.1875,3,2024-11-14,11:07:13.949020
5.75,-0.1,7.65,0.006545,0.028362,0.005454,1.0625,32.0,7.375,3,2024-11-14,11:07:14.135911
5.89,-0.12,7.74,-0.011999,-0.127627,0.015272,0.75,33.5,6.5625,3,2024-11-14,11:07:14.430032
6.06,-0.14,7.65,-0.004363,-0.022907,-0.015272,2.1875,32.375,8.1875,3,2024-11-14,11:07:14.553959
6.09,-0.12,7.7,-0.005454,0.045815,-0.020726,0.75,32.375,7.375,3,2024-11-14,11:07:14.772874
6.0,-0.1,7.76,0.029452,0.061087,-0.028362,0.75,32.6875,8.1875,3,2024-11-14,11:07:14.990766
5.85,0.1,7.93,0.033816,0.129809,-0.031634,1.0625,32.0,7.375,3,2024-11-14,11:07:15.213347
5.49,0.13,7.95,0.01309,0.164715,-0.037088,0.75,32.0,8.1875,3,2024-11-14,11:07:15.417895
5.18,0.14,8.11,0.01309,0.165806,-0.050178,-1.0625,32.6875,7.75,3,2024-11-14,11:07:15.828213
5.07,0.18,8.19,-0.002182,-0.017453,0.004363,-0.25,31.25,7.75,3,2024-11-14,11:07:15.992591
5.34,0.21,8.33,-0.016362,-0.160352,0.047997,-1.0625,31.6875,8.1875,3,2024-11-14,11:07:16.037583
5.29,0.1,8.06,-0.032725,-0.133081,0.042542,-1.375,32.375,6.5625,3,2024-11-14,11:07:16.226467
5.57,0.05,8.01,-0.011999,-0.069813,0.015272,0.75,32.0,8.1875,3,2024-11-14,11:07:16.384007
5.68,0.0,7.94,-0.014181,-0.097084,0.016362,0.0625,32.0,8.1875,3,2024-11-14,11:07:16.696301
5.8,0.0,7.95,-0.020726,-0.07854,0.017453,-0.25,32.375,9.0,3,2024-11-14,11:07:16.711708
5.76,0.0,7.79,-0.007636,-0.014181,-0.002182,0.75,31.25,6.1875,3,2024-11-14,11:07:16.994891
5.83,-0.06,7.74,-0.009817,0.022907,-0.011999,0.375,32.6875,7.375,3,2024-11-14,11:07:17.227763
5.85,-0.03,7.72,-0.017453,-0.046906,0.005454,0.5,32.0,6.5625,3,2024-11-14,11:07:17.493121
6.04,-0.05,7.69,-0.022907,-0.088357,0.018544,1.5625,32.375,7.75,3,2024-11-14,11:07:17.525119
6.15,-0.06,7.53,-0.01309,-0.014181,-0.001091,1.5625,31.6875,7.75,3,2024-11-14,11:07:17.635072
6.04,-0.11,7.65,0.022907,0.137445,-0.019635,0.875,32.375,9.0,3,2024-11-14,11:07:17.947114
5.72,0.01,7.8,0.027271,0.14399,-0.044724,1.5625,32.0,9.0,3,2024-11-14,11:07:18.147046
5.69,0.01,7.86,-0.030543,0.008727,0.017453,0.875,32.0,7.0,3,2024-11-14,11:07:18.346932
5.54,0.09,8.0,0.010908,0.061087,-0.025089,0.875,32.6875,7.0,3,2024-11-14,11:07:18.548228
5.52,0.02,7.88,-0.015272,-0.029452,-0.002182,0.375,32.0,5.75,3,2024-11-14,11:07:18.737123
5.66,-0.01,8.05,-0.037088,-0.267254,0.062177,0.375,31.6875,7.375,3,2024-11-14,11:07:18.941002
5.73,0.03,7.65,-0.003272,0.032725,0.023998,1.0625,32.0,7.375,3,2024-11-14,11:07:19.146769
5.86,-0.13,7.89,-0.007636,-0.006545,0.022907,1.0625,32.0,7.375,3,2024-11-14,11:07:19.363159
6.02,-0.06,7.85,-0.003272,0.0,-0.006545,0.75,32.0,8.5625,3,2024-11-14,11:07:19.691270
5.76,-0.28,8.0,-0.069813,-0.087266,-0.098175,0.375,31.6875,8.5625,3,2024-11-14,11:07:19.882183
5.96,0.13,7.74,0.042542,-0.010908,-0.007636,1.5,32.375,9.0,3,2024-11-14,11:07:20.112049
5.91,0.04,7.65,0.025089,0.133081,-0.051269,0.0625,31.6875,8.1875,3,2024-11-14,11:07:20.158027
5.75,0.07,8.02,0.019635,0.019635,0.02618,0.75,32.375,7.75,3,2024-11-14,11:07:20.283964
5.74,-0.03,8.02,0.001091,-0.001091,-0.007636,0.0625,32.6875,7.0,3,2024-11-14,11:07:20.609355
5.58,0.13,8.02,-0.003272,0.071995,-0.010908,-0.25,32.6875,6.1875,3,2024-11-14,11:07:20.798249
5.28,0.17,8.11,0.011999,0.214894,-0.057814,-0.25,31.25,8.1875,3,2024-11-14,11:07:21.047830
5.12,0.18,8.12,0.004363,0.062177,-0.016362,-1.375,32.6875,6.5625,3,2024-11-14,11:07:21.233009
5.04,0.1,8.19,-0.02618,-0.010908,-0.025089,-1.75,32.0,7.75,3,2024-11-14,11:07:21.402897
5.08,0.26,8.27,0.014181,0.005454,0.015272,-1.0625,32.6875,9.6875,3,2024-11-14,11:07:21.622687
5.16,0.29,8.18,-0.025089,-0.030543,0.011999,-0.6875,32.375,7.0,3,2024-11-14,11:07:21.963773
5.17,0.06,8.17,-0.022907,-0.043633,0.008727,-0.6875,32.6875,7.0,3,2024-11-14,11:07:22.264863
5.11,0.17,8.02,-0.027271,-0.034907,0.018544,-1.0625,31.6875,7.0,3,2024-11-14,11:07:22.342817
5.47,0.06,8.03,-0.020726,-0.092721,0.032725,-0.25,32.0,7.375,3,2024-11-14,11:07:22.546715
5.35,0.06,8.08,0.004363,0.102538,-0.028362,0.0625,32.0,8.1875,3,2024-11-14,11:07:22.748469
5.51,-0.02,8.09,-0.009817,-0.123264,0.046906,-0.25,32.0,7.0,3,2024-11-14,11:07:23.403719
5.61,0.07,8.18,0.003272,0.023998,-0.027271,0.0625,31.6875,7.375,3,2024-11-14,11:07:25.077877
5.32,0.27,8.01,-0.028362,0.040361,-0.051269,-0.25,31.6875,7.375,3,2024-11-14,11:07:25.121945
5.64,0.17,7.96,-0.003272,-0.021817,0.040361,-0.6875,32.375,8.5625,3,2024-11-14,11:07:25.141173
5.4,0.33,8.37,-0.007636,-0.02618,-0.025089,0.0625,31.6875,8.1875,3,2024-11-14,11:07:25.156522
5.68,0.05,7.79,-0.005454,-0.092721,0.010908,0.0625,32.375,6.5625,3,2024-11-14,11:07:25.156522
5.19,0.34,7.84,0.029452,0.06545,-0.03927,-0.25,32.6875,7.75,3,2024-11-14,11:07:25.157523
5.55,0.13,8.01,-0.019635,-0.03927,0.020726,-1.0625,32.0,7.375,3,2024-11-14,11:07:25.157523
5.68,0.07,7.86,-0.009817,-0.041452,0.003272,0.0625,32.0,7.75,3,2024-11-14,11:07:25.172515
5.58,0.15,7.95,0.001091,0.056723,-0.019635,0.375,32.375,8.1875,3,2024-11-14,11:07:25.188503
5.48,0.25,8.05,-0.033816,-0.029452,-0.01309,-0.6875,31.6875,7.0,3,2024-11-14,11:07:25.220485
5.54,0.28,7.98,0.002182,-0.031634,0.02618,0.375,31.6875,7.75,3,2024-11-14,11:07:25.220485
5.58,0.14,7.91,-0.047997,-0.088357,0.017453,-0.6875,32.375,7.375,3,2024-11-14,11:07:25.283607
5.93,0.1,8.09,-0.010908,-0.101447,0.023998,0.375,31.6875,8.5625,3,2024-11-14,11:07:25.409555
6.11,0.03,8.05,0.035997,-0.074176,0.010908,0.75,32.6875,7.75,3,2024-11-14,11:07:25.720207
5.84,0.11,8.04,0.017453,0.142899,-0.030543,0.75,31.25,7.375,3,2024-11-14,11:07:25.917409
5.21,0.24,8.09,0.017453,0.214894,-0.051269,-0.25,32.0,8.1875,3,2024-11-14,11:07:25.950328
5.41,0.18,8.07,-0.027271,-0.226893,0.056723,-1.375,32.0,7.0,3,2024-11-14,11:07:26.180824
5.45,0.13,8.06,-0.004363,-0.040361,0.020726,-0.25,32.0,6.5625,3,2024-11-14,11:07:26.325714
5.58,0.14,8.15,-0.027271,-0.047997,0.002182,-1.0625,32.375,7.375,3,2024-11-14,11:07:26.604472
5.34,0.07,8.02,-0.101447,0.03927,0.030543,-0.25,32.375,7.75,3,2024-11-14,11:07:26.822434
5.83,0.25,8.0,0.017453,-0.017453,0.001091,0.375,30.875,6.5625,3,2024-11-14,11:07:26.947006
5.49,-0.21,7.98,0.05236,-0.017453,-0.028362,0.0625,30.875,7.75,3,2024-11-14,11:07:27.166080
5.6,0.09,7.75,0.023998,-0.017453,-0.068722,0.375,32.0,7.375,3,2024-11-14,11:07:27.352663
5.87,0.36,7.98,-0.010908,-0.064359,-0.027271,-0.6875,32.6875,7.375,3,2024-11-14,11:07:27.541551
5.77,0.24,7.84,-0.029452,0.03927,0.007636,-0.6875,32.375,7.375,3,2024-11-14,11:07:27.805664
5.76,0.15,8.05,0.018544,-0.007636,0.038179,-0.25,32.375,8.1875,3,2024-11-14,11:07:27.992414
5.85,0.15,8.0,-0.01309,-0.021817,0.007636,-0.25,32.375,8.5625,3,2024-11-14,11:07:28.194301
5.6,0.27,7.72,-0.007636,0.033816,-0.008727,0.0625,32.0,8.5625,3,2024-11-14,11:07:28.365509
5.62,0.24,7.89,-0.004363,-0.021817,0.009817,-1.375,32.375,7.0,3,2024-11-14,11:07:28.677362
5.74,0.22,7.95,-0.004363,-0.006545,-0.004363,-0.25,32.0,8.1875,3,2024-11-14,11:07:28.921762
5.72,0.22,7.88,-0.010908,-0.006545,0.0,-0.25,32.0,7.375,3,2024-11-14,11:07:28.968735
5.74,0.22,7.83,-0.002182,-0.003272,0.006545,-0.25,31.25,8.1875,3,2024-11-14,11:07:29.111672
5.85,0.19,7.82,-0.001091,-0.016362,0.007636,0.0625,32.375,7.75,3,2024-11-14,11:07:29.299722
5.92,0.08,7.87,0.017453,0.004363,0.008727,0.0625,31.6875,7.375,3,2024-11-14,11:07:29.548592
5.86,0.17,7.66,-0.009817,0.007636,-0.002182,0.375,32.0,8.1875,3,2024-11-14,11:07:29.752476
5.97,0.28,7.77,-0.009817,-0.028362,0.041452,-0.25,32.0,8.1875,3,2024-11-14,11:07:29.937536
5.73,0.59,7.32,-0.099266,-0.045815,0.100356,1.0625,32.0,7.75,3,2024-11-14,11:07:30.139902
6.05,-0.44,7.99,0.067632,-0.022907,0.021817,1.5,31.25,9.0625,3,2024-11-14,11:07:30.356692
6.06,-0.31,7.76,0.038179,-0.016362,-0.001091,2.1875,32.0,8.25,3,2024-11-14,11:07:30.772576
5.94,-0.21,7.78,0.035997,-0.076358,-0.017453,1.5,31.6875,7.875,3,2024-11-14,11:07:30.833410
6.08,-0.14,7.77,0.014181,-0.058905,-0.063268,1.5,31.6875,8.25,3,2024-11-14,11:07:31.126495
5.87,-0.08,7.56,0.010908,0.053451,0.010908,1.5,32.375,7.875,3,2024-11-14,11:07:31.361976
5.87,-0.17,7.76,0.031634,0.075267,0.006545,0.75,32.0,9.0625,3,2024-11-14,11:07:31.548872
5.62,-0.04,7.89,0.023998,0.18326,-0.047997,0.375,32.375,7.875,3,2024-11-14,11:07:31.564859
5.42,0.15,8.03,0.002182,0.14399,-0.046906,-0.25,31.6875,8.25,3,2024-11-14,11:07:31.766770
