ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.97,-3.14,-9.16,0.008727,-0.002182,0.0,28.0,14.875,2.375,2,2024-11-14,11:05:33.002601
0.97,-3.12,-9.16,0.005454,0.0,0.002182,28.375,14.5,0.75,2,2024-11-14,11:05:33.201408
1.0,-3.14,-9.16,0.004363,0.001091,-0.001091,28.6875,14.5,2.0,2,2024-11-14,11:05:33.435272
0.98,-3.16,-9.19,0.006545,-0.003272,0.001091,28.375,14.875,1.5625,2,2024-11-14,11:05:33.604957
0.96,-3.11,-9.18,0.008727,0.0,0.0,28.6875,14.5,0.75,2,2024-11-14,11:05:33.779042
0.98,-3.13,-9.18,-0.002182,-0.002182,0.001091,29.5,14.5,1.1875,2,2024-11-14,11:05:33.997923
0.98,-3.18,-9.17,0.008727,-0.008727,0.0,29.0625,15.25,2.375,2,2024-11-14,11:05:34.059137
0.96,-3.21,-9.13,-0.007636,-0.009817,0.002182,29.0625,14.5,1.5625,2,2024-11-14,11:05:34.229135
0.96,-3.26,-9.15,-0.001091,-0.007636,0.006545,29.0625,14.5,0.75,2,2024-11-14,11:05:34.447107
0.95,-3.24,-9.15,0.005454,-0.008727,0.005454,29.0625,14.5,1.1875,2,2024-11-14,11:05:34.651114
0.94,-3.21,-9.2,-0.001091,-0.004363,0.002182,28.6875,14.875,0.75,2,2024-11-14,11:05:34.839528
0.93,-3.25,-9.2,0.002182,-0.003272,0.001091,29.0625,15.25,0.75,2,2024-11-14,11:05:35.036923
0.92,-3.27,-9.19,-0.006545,-0.002182,0.002182,28.6875,14.1875,1.1875,2,2024-11-14,11:05:35.326893
0.93,-3.3,-9.16,0.002182,-0.01309,0.004363,29.0625,14.5,2.0,2,2024-11-14,11:05:35.625733
0.9,-3.34,-9.17,-0.001091,-0.002182,-0.002182,29.0625,14.875,0.375,2,2024-11-14,11:05:35.876723
0.93,-3.38,-9.19,-0.015272,0.007636,0.0,28.375,14.1875,0.75,2,2024-11-14,11:05:36.049201
0.92,-3.29,-9.2,-0.002182,0.007636,0.001091,28.6875,14.5,0.75,2,2024-11-14,11:05:36.065208
0.94,-3.28,-9.15,0.005454,0.003272,0.0,29.0625,14.5,1.1875,2,2024-11-14,11:05:36.284664
0.94,-3.28,-9.17,-0.001091,0.008727,-0.003272,28.6875,14.5,1.1875,2,2024-11-14,11:05:36.453567
0.95,-3.28,-9.18,-0.001091,0.003272,0.002182,28.375,14.875,1.5625,2,2024-11-14,11:05:36.671442
0.95,-3.29,-9.18,0.015272,-0.001091,0.0,28.375,14.5,0.75,2,2024-11-14,11:05:36.859972
0.97,-3.29,-9.2,-0.008727,0.002182,-0.001091,28.375,14.1875,2.0,2,2024-11-14,11:05:37.092839
0.94,-3.29,-9.16,-0.019635,-0.006545,0.003272,28.6875,14.875,2.75,2,2024-11-14,11:05:37.295066
0.95,-3.25,-9.18,-0.011999,-0.004363,0.0,28.6875,14.5,1.5625,2,2024-11-14,11:05:37.464984
0.96,-3.2,-9.18,-0.009817,-0.007636,0.002182,29.0625,14.875,0.75,2,2024-11-14,11:05:37.700869
0.95,-3.26,-9.19,-0.009817,-0.003272,0.001091,29.0625,15.6875,1.1875,2,2024-11-14,11:05:37.935159
0.93,-3.24,-9.2,-0.006545,0.001091,0.0,28.6875,14.875,0.75,2,2024-11-14,11:05:38.216786
0.92,-3.31,-9.16,-0.004363,-0.003272,0.001091,28.6875,15.6875,1.5625,2,2024-11-14,11:05:38.422061
0.92,-3.29,-9.18,0.002182,0.0,0.001091,28.6875,14.875,1.5625,2,2024-11-14,11:05:38.612428
0.96,-3.34,-9.17,-0.001091,-0.001091,0.001091,28.6875,15.25,1.5625,2,2024-11-14,11:05:38.862754
0.91,-3.35,-9.17,0.002182,0.0,-0.001091,28.6875,15.25,1.5625,2,2024-11-14,11:05:39.147127
0.93,-3.4,-9.17,0.003272,0.006545,0.0,28.6875,15.25,1.5625,2,2024-11-14,11:05:39.415914
0.93,-3.42,-9.16,0.004363,0.001091,0.001091,28.6875,15.25,0.375,2,2024-11-14,11:05:39.493857
0.9,-3.41,-9.16,0.007636,0.004363,0.0,29.0625,14.5,1.1875,2,2024-11-14,11:05:39.601117
0.91,-3.4,-9.16,0.002182,0.0,-0.002182,28.6875,14.5,2.375,2,2024-11-14,11:05:39.961253
0.93,-3.4,-9.18,0.002182,-0.003272,0.0,28.375,15.25,0.75,2,2024-11-14,11:05:40.025202
0.92,-3.38,-9.18,-0.007636,-0.002182,0.0,29.5,15.25,1.5625,2,2024-11-14,11:05:40.388185
0.93,-3.37,-9.14,-0.015272,-0.001091,-0.001091,28.375,15.25,2.375,2,2024-11-14,11:05:40.570681
0.93,-3.33,-9.14,-0.016362,-0.008727,0.003272,29.5,14.5,1.5625,2,2024-11-14,11:05:40.634645
0.91,-3.34,-9.16,-0.011999,-0.006545,0.002182,29.5,14.5,1.5625,2,2024-11-14,11:05:40.789572
0.9,-3.36,-9.15,-0.007636,-0.004363,0.001091,28.6875,15.6875,1.5625,2,2024-11-14,11:05:40.977961
0.9,-3.35,-9.17,-0.002182,-0.003272,0.0,28.6875,15.25,1.5625,2,2024-11-14,11:05:41.198840
0.9,-3.35,-9.18,-0.005454,-0.001091,-0.001091,28.375,15.6875,2.0,2,2024-11-14,11:05:41.385271
0.89,-3.44,-9.18,-0.001091,-0.005454,-0.002182,28.6875,15.6875,0.75,2,2024-11-14,11:05:41.591054
0.9,-3.37,-9.14,-0.006545,0.003272,-0.001091,27.6875,15.25,1.5625,2,2024-11-14,11:05:41.821928
0.89,-3.36,-9.19,-0.010908,0.003272,-0.001091,28.375,14.875,2.0,2,2024-11-14,11:05:42.036990
0.9,-3.38,-9.19,0.0,0.002182,0.004363,28.6875,14.5,0.75,2,2024-11-14,11:05:42.239803
0.89,-3.38,-9.18,0.003272,0.001091,0.001091,28.6875,15.25,0.75,2,2024-11-14,11:05:42.520874
0.92,-3.37,-9.18,-0.001091,0.001091,0.0,28.0,14.875,0.375,2,2024-11-14,11:05:42.693775
0.92,-3.36,-9.17,0.001091,0.0,0.002182,28.6875,15.25,0.375,2,2024-11-14,11:05:42.940471
0.88,-3.38,-9.19,-0.008727,-0.001091,0.001091,28.375,14.875,0.75,2,2024-11-14,11:05:42.987460
0.9,-3.32,-9.17,-0.009817,0.002182,0.0,28.6875,14.5,1.5625,2,2024-11-14,11:05:43.146355
0.89,-3.28,-9.19,-0.015272,0.001091,0.001091,28.6875,14.5,1.5625,2,2024-11-14,11:05:43.430212
0.88,-3.32,-9.17,-0.003272,0.0,0.0,28.6875,15.6875,0.375,2,2024-11-14,11:05:43.646475
0.9,-3.32,-9.18,-0.003272,-0.002182,-0.001091,29.5,14.875,1.1875,2,2024-11-14,11:05:43.852657
0.89,-3.32,-9.19,0.0,0.002182,-0.001091,28.375,14.875,2.0,2,2024-11-14,11:05:44.054887
0.88,-3.36,-9.19,-0.001091,0.001091,0.0,29.5,14.1875,0.375,2,2024-11-14,11:05:44.224791
0.91,-3.37,-9.16,0.004363,0.002182,0.001091,29.0625,14.875,2.375,2,2024-11-14,11:05:44.487837
0.87,-3.38,-9.2,-0.004363,0.002182,0.0,28.6875,14.875,2.0,2,2024-11-14,11:05:44.676755
0.91,-3.41,-9.16,0.0,0.001091,0.001091,29.0625,15.6875,1.1875,2,2024-11-14,11:05:44.723711
0.9,-3.44,-9.16,-0.003272,0.0,0.0,28.0,14.5,1.1875,2,2024-11-14,11:05:44.850653
0.9,-3.43,-9.16,0.0,-0.003272,0.001091,27.6875,14.875,1.5625,2,2024-11-14,11:05:45.131570
0.9,-3.44,-9.17,0.01309,-0.003272,0.0,28.6875,14.875,1.5625,2,2024-11-14,11:05:45.302457
0.89,-3.39,-9.17,-0.001091,0.003272,-0.002182,28.6875,15.25,2.0,2,2024-11-14,11:05:45.562873
0.89,-3.39,-9.16,-0.001091,-0.001091,0.0,29.5,15.25,1.1875,2,2024-11-14,11:05:45.780770
0.88,-3.31,-9.19,0.003272,-0.004363,0.001091,29.0625,14.1875,0.0,2,2024-11-14,11:05:46.000625
0.9,-3.33,-9.18,-0.002182,0.0,0.002182,29.0625,14.5,1.5625,2,2024-11-14,11:05:46.171023
0.88,-3.34,-9.19,-0.005454,0.001091,-0.002182,29.0625,15.25,0.75,2,2024-11-14,11:05:46.423128
0.88,-3.38,-9.15,0.002182,-0.001091,0.002182,29.5,14.1875,1.1875,2,2024-11-14,11:05:46.754446
0.88,-3.38,-9.17,-0.014181,0.001091,0.0,28.0,14.1875,1.1875,2,2024-11-14,11:05:46.987316
0.88,-3.35,-9.16,-0.002182,0.001091,-0.001091,28.6875,14.5,0.375,2,2024-11-14,11:05:47.004307
0.91,-3.35,-9.19,0.0,-0.002182,0.002182,28.375,15.25,1.1875,2,2024-11-14,11:05:47.220695
0.88,-3.4,-9.17,0.004363,0.001091,0.0,28.375,14.875,1.1875,2,2024-11-14,11:05:47.408684
0.89,-3.42,-9.19,-0.003272,0.003272,0.001091,29.0625,14.5,0.75,2,2024-11-14,11:05:47.627046
0.91,-3.39,-9.18,0.002182,-0.002182,0.001091,28.6875,15.6875,1.1875,2,2024-11-14,11:05:47.814938
0.88,-3.43,-9.18,-0.004363,0.001091,0.0,28.6875,14.875,0.75,2,2024-11-14,11:05:48.127441
0.87,-3.43,-9.19,-0.001091,0.001091,-0.001091,28.6875,15.25,1.1875,2,2024-11-14,11:05:48.358308
0.87,-3.47,-9.17,0.002182,0.002182,0.0,28.6875,15.6875,1.5625,2,2024-11-14,11:05:48.635107
0.89,-3.43,-9.19,0.003272,-0.001091,0.001091,29.5,14.875,2.375,2,2024-11-14,11:05:48.666090
0.88,-3.41,-9.16,-0.010908,-0.002182,0.0,29.5,14.5,0.375,2,2024-11-14,11:05:48.852064
0.86,-3.28,-9.18,-0.014181,0.002182,0.003272,29.0625,14.875,1.6875,2,2024-11-14,11:05:49.070084
0.88,-3.25,-9.2,0.004363,0.001091,0.0,28.0,14.5,2.0625,2,2024-11-14,11:05:49.336103
0.89,-3.27,-9.17,0.002182,0.001091,0.001091,29.0625,15.25,1.6875,2,2024-11-14,11:05:49.570054
0.9,-3.24,-9.2,0.001091,0.004363,0.001091,28.6875,15.25,0.875,2,2024-11-14,11:05:49.762380
0.89,-3.24,-9.18,0.006545,0.002182,0.001091,29.5,14.5,1.6875,2,2024-11-14,11:05:49.825360
0.87,-3.31,-9.19,0.005454,0.003272,0.001091,29.0625,14.875,0.875,2,2024-11-14,11:05:49.999261
0.87,-3.28,-9.17,0.002182,0.0,0.002182,29.5,15.25,2.0625,2,2024-11-14,11:05:50.200351
0.87,-3.3,-9.17,0.001091,-0.001091,0.0,29.0625,14.875,1.25,2,2024-11-14,11:05:50.385258
0.88,-3.28,-9.2,0.0,0.0,0.001091,29.0625,14.1875,0.5,2,2024-11-14,11:05:50.575137
0.9,-3.28,-9.19,0.002182,0.0,0.002182,29.0625,14.5,1.6875,2,2024-11-14,11:05:50.824288
0.88,-3.3,-9.22,-0.001091,-0.001091,-0.001091,28.6875,14.875,1.25,2,2024-11-14,11:05:50.997187
0.88,-3.33,-9.19,0.001091,0.0,-0.001091,29.5,14.5,0.5625,2,2024-11-14,11:05:51.245158
0.89,-3.33,-9.21,-0.004363,0.001091,-0.001091,29.875,14.875,1.6875,2,2024-11-14,11:05:51.397073
0.88,-3.34,-9.18,-0.003272,0.0,-0.001091,29.875,14.5,1.6875,2,2024-11-14,11:05:51.599968
0.88,-3.32,-9.19,0.0,0.001091,0.002182,29.0625,14.875,1.25,2,2024-11-14,11:05:52.068326
0.87,-3.34,-9.19,-0.004363,-0.002182,0.001091,29.5,14.875,1.6875,2,2024-11-14,11:05:52.256040
0.88,-3.35,-9.16,0.003272,-0.002182,-0.001091,29.0625,15.25,1.6875,2,2024-11-14,11:05:52.425949
0.87,-3.35,-9.17,0.007636,0.0,-0.001091,28.6875,16.0,0.0625,2,2024-11-14,11:05:52.441940
0.88,-3.34,-9.19,-0.007636,0.003272,-0.001091,28.375,14.5,0.5625,2,2024-11-14,11:05:52.629003
0.89,-3.33,-9.19,-0.003272,0.004363,0.0,28.375,14.875,2.0625,2,2024-11-14,11:05:52.828768
0.88,-3.35,-9.21,-0.004363,-0.002182,0.0,28.375,14.875,2.0625,2,2024-11-14,11:05:53.199588
0.88,-3.33,-9.19,0.0,-0.002182,0.001091,29.5,15.25,0.5625,2,2024-11-14,11:05:53.497058
0.89,-3.34,-9.2,-0.003272,0.0,0.002182,29.0625,15.6875,0.5,2,2024-11-14,11:05:53.700672
0.88,-3.35,-9.19,0.002182,-0.002182,0.001091,28.0,15.25,2.0625,2,2024-11-14,11:05:53.764619
0.88,-3.35,-9.19,0.002182,-0.003272,-0.001091,29.0625,14.875,0.875,2,2024-11-14,11:05:53.859358
0.89,-3.33,-9.19,-0.008727,0.0,-0.001091,28.6875,14.875,0.5625,2,2024-11-14,11:05:54.066254
0.87,-3.29,-9.19,-0.007636,0.006545,-0.002182,28.375,14.5,1.25,2,2024-11-14,11:05:54.269667
0.88,-3.26,-9.18,-0.001091,0.004363,-0.003272,28.375,14.875,0.5,2,2024-11-14,11:05:54.535994
0.88,-3.26,-9.19,-0.005454,0.003272,0.0,28.6875,15.25,1.25,2,2024-11-14,11:05:54.688916
0.87,-3.27,-9.2,0.0,0.001091,0.001091,29.0625,15.25,0.5625,2,2024-11-14,11:05:54.909949
0.89,-3.27,-9.19,-0.001091,0.001091,0.0,28.375,14.875,1.25,2,2024-11-14,11:05:55.146121
0.87,-3.27,-9.21,-0.002182,0.002182,0.001091,29.5,15.25,1.6875,2,2024-11-14,11:05:55.317025
0.88,-3.27,-9.19,0.001091,0.002182,-0.001091,28.375,14.1875,0.0625,2,2024-11-14,11:05:55.565394
0.87,-3.27,-9.2,-0.001091,0.0,0.001091,28.375,15.6875,0.875,2,2024-11-14,11:05:55.918436
0.86,-3.31,-9.18,0.003272,0.001091,0.001091,28.6875,14.875,0.875,2,2024-11-14,11:05:55.950416
0.87,-3.35,-9.19,0.0,0.002182,0.002182,28.375,15.25,0.875,2,2024-11-14,11:05:56.138309
0.88,-3.38,-9.2,0.003272,-0.002182,0.002182,28.6875,14.875,1.6875,2,2024-11-14,11:05:56.170294
0.86,-3.4,-9.18,0.002182,0.003272,0.0,29.0625,15.25,1.6875,2,2024-11-14,11:05:56.308213
0.88,-3.38,-9.19,0.003272,0.002182,0.001091,29.0625,15.25,1.25,2,2024-11-14,11:05:56.573458
0.88,-3.38,-9.18,-0.004363,0.0,-0.001091,28.6875,14.875,0.5,2,2024-11-14,11:05:56.932499
0.89,-3.44,-9.17,-0.004363,-0.002182,0.0,29.0625,15.25,0.875,2,2024-11-14,11:05:57.183356
0.88,-3.41,-9.19,-0.006545,-0.001091,0.0,28.6875,14.875,1.25,2,2024-11-14,11:05:57.383554
0.91,-3.37,-9.18,-0.002182,-0.002182,0.0,29.0625,15.6875,0.0625,2,2024-11-14,11:05:57.432155
0.91,-3.33,-9.17,0.003272,0.001091,-0.001091,29.0625,14.1875,0.875,2,2024-11-14,11:05:57.575073
0.89,-3.38,-9.19,-0.001091,-0.004363,-0.001091,28.0,14.875,0.0625,2,2024-11-14,11:05:57.760965
